GDP（现价美元）,NY.GDP.MKTP.CD,阿富汗,AFG,3641723447.18433,3478787909.81818,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2461666314.78366,4128818042.25508,4583648921.64112,5285461999.33739,6275076016.47174,7057597614.45076,9843851009.41462,10190534636.6444,12486950468.1773,15936784437.224,17870159081.787,20506795254.4884,20309671014.6236,..
GDP（现价美元）,NY.GDP.MKTP.CD,阿尔巴尼亚,ALB,..,..,..,..,1924242453.00793,1965384586.2409,2173750012.5,2156624900,2126000000,2335124987.5,2101624962.5,1139166676.01094,709452572.338241,1228071037.84446,1985673026.02143,2424498953.26963,3013217853.03299,2196223713.70143,2727745453.16221,3434402453.29471,3686649386.83962,4091020249.1995,4449373455.28143,5652325081.83146,7464446950.18143,8376483393.94155,9132558096.86514,10701011524.0982,12881353507.8539,12044208085.864,11926957254.6288,12890866742.6533,12344529628.0617,12923240278.3416,..
GDP（现价美元）,NY.GDP.MKTP.CD,阿尔及利亚,DZA,42345276287.5934,44348670724.0831,45207090667.8674,48801372227.5528,53698280322.5824,57937867717.4636,63696299985.0409,66742269089.6987,59089065516.8692,55631488293.8976,62045098370.0829,45715368143.9784,48003297248.8691,49946456681.2384,42542573602.1669,41764054034.6543,46941496308.2845,48177861890.8881,48187780126.1819,48640613515.0702,54790058957.3718,54744716706.3542,56760288961.5829,67863832648.2897,85324997369.5015,103198650297.779,117026655313.743,134977867931.582,171000162581.484,137211795394.166,161207304960.455,199070864637.558,204331017992.08,210183410526.104,..
GDP（现价美元）,NY.GDP.MKTP.CD,美属萨摩亚,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP（现价美元）,NY.GDP.MKTP.CD,安道尔共和国,ADO,446377494.880496,388983013.897495,375914742.918141,327849949.00321,330073024.937292,346742901.743383,481996232.885864,611300198.45912,721426027.475386,795489397.964069,1028989439.40715,1106890942.98847,1209992604.28817,1007090896.43735,1017544619.09316,1178745261.82826,1224023469.69136,1180646037.01274,1211953953.56155,1239840265.63345,1133644294.5425,1264760246.44075,1456198796.29382,1917948475.27513,2322163502.26295,2539759285.92747,2823503852.62328,3245411583.7197,3712034266.50674,..,..,..,..,..,..
GDP（现价美元）,NY.GDP.MKTP.CD,安哥拉,AGO,..,..,..,..,..,6804278062.62664,6355849179.35458,7383121653.67413,7975234067.37627,9283054576.2006,10260193360.6806,12193746624.6789,5779394291.7582,5285600050.3455,4059352153.05368,5039552482.42778,7526446605.51712,7648377412.83277,6445041824.66621,6152922942.98032,9129594818.60749,8936079252.77131,12497346042.1583,14188949239.8883,19640862549.9734,28233699333.6996,41789493191.7536,60448887582.7354,84178084135.3609,75492416522.9248,82470894868.3337,104115867663.458,115341559475.426,124178241815.737,..
GDP（现价美元）,NY.GDP.MKTP.CD,安提瓜和巴布达,ATG,110066664.722819,124462960.764868,137951849.415534,153270367.663518,173511108.046794,201862959.397935,245896291.953611,286474069.01476,338696290.314704,373403697.109157,391570363.454988,410388881.64116,423762955.479039,456537028.974302,500088880.057001,494185176.45756,541074064.518361,579851841.611299,620037026.086788,651851840.339733,783837838.008776,773765171.519999,802529319.160154,839996355.5355,898356132.282607,997374093.496849,1135143572.54523,1289254310.56428,1347349851.85185,1206410370.37037,1135539037.03704,1129918370.37037,1204713111.11111,1200587518.51852,..
GDP（现价美元）,NY.GDP.MKTP.CD,阿根廷,ARG,76961923741.9469,78676842366.4213,84307486836.724,103979106777.911,79092001998.032,88416668900.2596,110934442762.694,111106191358.197,126206817196.091,76636898036.4712,141352368714.691,189719989668.103,228779382768.151,236753563469.871,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,102040286874.385,129597154256.313,183295704305.31,222907566120.932,264489701813.206,329761480066.765,406003733832.97,378496221140.697,462703793707.187,557727273772.913,603153016502.593,609888971036.196,..
GDP（现价美元）,NY.GDP.MKTP.CD,亚美尼亚,ARM,..,..,..,..,..,..,..,..,..,..,2256838858.42714,2068526521.90299,1272577521.7683,1201313196.45626,1315158670.47971,1468317350.02343,1596968913.19202,1639492424.38103,1893726437.35976,1845482181.48539,1911563665.39006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900436758.50466,6384457744.44765,9206301700.39619,11662040713.8753,8647936747.98704,9260287416.06014,10142342769.9464,9958217880.33776,10432169571.25,..
GDP（现价美元）,NY.GDP.MKTP.CD,阿鲁巴,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1330167597.76536,1320670391.06145,1379888268.15642,1531843575.41899,1665363128.49162,1722798882.68156,1873452513.96648,1920262569.8324,1941094972.06704,2021301675.97765,2228279329.60894,2331005586.59218,2421474860.3352,2623726256.98324,2791960893.85475,2498932960.89385,2467703910.61453,2584463687.15084,..,..,..
